항목,값,설명
제목,무엇을 하는 자리인가,
리드 문장,이 컨퍼런스의 목적은 노하우 전수가 아니라 실패의 재발 방지입니다.,가장 굵게 나오는 한 문장
본문,"동아리에서 매 학기 같은 일이 반복됩니다. 프로젝트가 중간에 엎어지고, 팀이 깨집니다. 그런데 원인을 뜯어보면 기술이 부족해서가 아니라 구현 범위를 잘못 잡았거나, 일정을 못 지켰거나, 역할 분배에서 틀어진 경우가 대부분입니다.
선배들이 이미 겪고 넘어간 문제를 후배들이 처음부터 다시 밟고 있습니다. 개별 동아리 안의 구전만으로는 이 반복이 끊기지 않습니다.
그래서 이 자리의 연사는 자기가 잘한 것을 소개하지 않습니다. 실제로 내렸던 판단과 그 결과를 — 실패한 판단을 포함해서 — 공유합니다.
주제는 두 갈래입니다. 오전에는 현업에서 일하는 분들이 게임 업계가 지금 어떻게 돌아가는지 이야기하고, 오후에는 직접 만들어 본 사람들이 프로젝트에서 실제로 벌어진 일을 풉니다. 트랙을 나누지 않아 한 공간에서 모든 발표를 이어서 듣습니다.",한 줄이 한 문단이 됩니다
이런 발표가 아닙니다,,한 줄에 하나씩
발표 구성 제목,모든 강연은 여기서 시작해 여기서 끝납니다,강연구성 표 위에 나오는 문장
발표 구성 덧말,,강연구성 표 아래 작은 글씨
